# 六感菜单繁体手工校准词条 —— 按 SKU3惠而浦烤箱6th菜单菜谱-中英文-2026.xlsx 繁体块逐字
# 重放: perl tw_work/apply_six_desc_overrides.pl tw_work/six_desc_tw_overrides.tw_table.c 之前先备份
# 实际用法: perl tw_work/apply_six_desc_overrides.pl tw_work/six_desc_tw_overrides.tsv ui_builder/custom/i18n_tw_table.c
# 格式: zh<TAB>tw ; C 源里的 \n 写作 ⏎ ; # 开头为注释
# ==== 一、行片段(头部/层数/器皿, 与描述页共享的独立键) ====
烹饪说明：	烹調指引：
烹饪说明：⏎刷油，抹上盐和胡椒。根据个人喜好，用蒜和香草调味。烹调结束后，在分切前至少静止15分钟⏎现在将食物放在第3层⏎使用深盘	烹調指引：⏎掃上適量油，並抹上鹽和胡椒。可按個人喜好，加入蒜頭和香草調味。烹調完成後，請靜置至少 15 分鐘再切開。⏎將食物放入第 3 層。⏎使用深焗盤。
烹饪说明：⏎刷油，擦盐和胡椒。根据个人喜好，用蒜和香草调味。烹调结束后，在分切前至少静止15分钟⏎现在将食物放在第3层⏎使用深盘	烹調指引：⏎掃上適量油，並抹上鹽和胡椒。可按個人喜好，加入蒜頭和香草調味。烹調完成後，請靜置至少 15 分鐘再切開。⏎將食物放入第 3 層。⏎使用深焗盤。
烹饪说明：⏎刷油，抹上盐和胡椒。根据个人喜好，用蒜和香草调味。烹调结束后，在分切前至少静止15分钟⏎现在将食物放在第2层⏎使用深盘	烹調指引：⏎掃上適量油，並抹上鹽和胡椒。可按個人喜好，加入蒜頭和香草調味。烹調完成後，請靜置至少 15 分鐘再切開。⏎將食物放入第 2 層。⏎使用深焗盤。
烹饪说明：⏎刷油，擦盐和胡椒。根据个人喜好，用蒜和香草调味。烹调结束后，在分切前至少静止15分钟⏎现在将食物放在第2层⏎使用深盘	烹調指引：⏎掃上適量油，並抹上鹽和胡椒。可按個人喜好，加入蒜頭和香草調味。烹調完成後，請靜置至少 15 分鐘再切開。⏎將食物放入第 2 層。⏎使用深焗盤。
烹饪说明：⏎在放入烤箱之前，刷上油，加盐和烧烤调料调味⏎现在将食物放在第3层⏎使用深盘	烹調指引：⏎放入焗爐前，掃上食油。按個人喜好加入鹽及燒烤調味料調味。⏎將食物放入第 3 層。⏎使用深焗盤。
# ==== 四、正文残串(整串的正文行, 生成器按行拆 key 所致) ====
刷油，抹上盐和胡椒。根据个人喜好，用蒜和香草调味	掃上食油，抹上鹽及胡椒。可按個人喜好，加入蒜頭及香草調味。
刷油，根据个人喜好，撒上盐、烧烤料、孜然。在烤盘内均匀铺开	掃上食油，並按個人喜好灑上鹽、燒烤調味粉及孜然粉。將食物均勻平鋪於焗盤內。
均匀分布在深盘中	均勻平鋪於深盤上
根据个人喜好调味，刷上油，撒上烧烤调料	按個人喜好調味，掃上食油，並灑上燒烤調味料。
